address,reason,height,original_airdrop_amount,removed_liquidity,reported_time
sif1n6jpssqf764yyg5276p6t9r9s82ek9zqsqkuze,removed_liquidity,3130812,445.791726105563,-3694.948766957833,2021-09-09 19:56:25.033250+00:00
sif1nc9ln85lk00spwlqrhkeqxy7w6phnzv2k9d5e9,removed_liquidity,3131223,327.997900813435,-2918.2777872472257,2021-09-09 19:56:25.157172+00:00
sif1nqeduxm3vnl4lxaavw690dqefjrjhwmvtnuvd7,removed_liquidity,3217121,327.997900813435,-1655.6889802697563,2021-09-09 19:56:25.281130+00:00
sif1nqefrnsfhf7hsn7303jjm0eh9snnkx02nnevjs,removed_liquidity,3130574,724.560682394591,-9605.763681969664,2021-09-09 19:56:25.404815+00:00
sif1nyd4fm00c58dgfyyqdsf73enhw82dyudc7clgl,removed_liquidity,3130761,445.791726105563,-3708.8191889724612,2021-09-09 19:56:25.528625+00:00
sif1p05jltzkecqe60m9znfs2kvnzppkqvtp5echd6,removed_liquidity,3131424,445.791726105563,-3710.6464518160533,2021-09-09 19:56:25.652736+00:00
sif1pkecpjnmv0r8vdkhdcpad8npy2uycdn4mg88sp,removed_liquidity,3130743,445.791726105563,-3712.751682185157,2021-09-09 19:56:25.776776+00:00
sif1plawcegcr7yv3dcyk47twny4guewzrs6r3gaxk,removed_liquidity,3201053,327.997900813435,-44108.14741949993,2021-09-09 19:56:25.900890+00:00
sif1pn720jvte2j5ugruwx3w76ut4qadj97wvumvvs,removed_liquidity,3131306,445.791726105563,-3727.7311727361375,2021-09-09 19:56:26.024478+00:00
sif1pna505qyews9hs04y5ld0wflthkh7f3z85wa63,removed_liquidity,3171384,327.997900813435,-2614.65365016826,2021-09-09 19:56:26.148489+00:00
sif1prz305fzcexzwa3mlkce0uzzsngzla7n37n5gu,removed_liquidity,3172656,327.997900813435,-3408.952410144097,2021-09-09 19:56:26.272483+00:00
sif1pusvg5dmgf2u4h8zm29t58n0acnngf9y7atq0g,removed_liquidity,3186770,327.997900813435,-2938.060535613062,2021-09-09 19:56:26.396137+00:00
sif1q4arz4shx6nh4dl6lrm5uy64ltdh5gekhml50x,removed_liquidity,3131476,445.791726105563,-3702.0789295716986,2021-09-09 19:56:26.521092+00:00
sif1qak2j0ezah7j6qylgk8dv30tmyks2msajhdtuf,removed_liquidity,3135917,327.997900813435,-7264.281213262916,2021-09-09 19:56:26.644838+00:00
sif1rnzt8hrkwqjw2ffpsv0m8nhlwme8qvhqnwv3mw,removed_liquidity,3195327,327.997900813435,-3642.740939989825,2021-09-09 19:56:26.768464+00:00
